Bump_ID,Name,Center_X,Center_Y,Width,Height,Area,Text_Distance
0,VDD2,2504.6540,4484.7600,80.0000,80.0000,5018.4943,0.0000
1,PAD_DQ2,2504.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
2,PAD_DQ3,2504.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
3,VDDQ,2663.4020,4404.9600,80.0000,80.0000,5018.4943,0.0000
4,VSS,2663.4020,4245.3600,80.0000,80.0000,5018.4943,0.0000
5,PAD_DQ5,2504.6540,4005.9600,80.0000,80.0000,5018.4943,0.0000
6,PAD_DQ4,2504.6540,3846.3600,80.0000,80.0000,5018.4943,0.0000
7,VDD2,2504.6770,3686.7600,80.0000,80.0000,5018.4943,0.0000
8,VSS,2610.6770,3606.9600,80.0000,80.0000,5018.4943,0.0000
9,VSS,2663.4020,3926.1600,80.0000,80.0000,5018.4943,0.0000
10,VDDQ,2663.4020,3766.5600,80.0000,80.0000,5018.4943,0.0000
11,VSS,2398.6540,4564.5600,80.0000,80.0000,5018.4943,0.0000
12,VSS,2398.6540,4404.9600,80.0000,80.0000,5018.4943,0.0000
13,VDD_PLL,2398.6540,4245.3600,80.0000,80.0000,5018.4943,0.0000
14,VSS,2186.6540,4564.5600,80.0000,80.0000,5018.4943,0.0000
15,VDDQ,2186.6540,4404.9600,80.0000,80.0000,5018.4943,0.0000
16,VDD,2186.6540,4245.3600,80.0000,80.0000,5018.4943,0.0000
17,VDD_PLL_DSHM,2292.6540,4484.7600,80.0000,80.0000,5018.4943,0.0000
18,PADP_DQS,2292.6540,4325.1600,80.0000,80.0000,5018.4943,0.0000
19,PADN_DQS,2292.6540,4165.5600,80.0000,80.0000,5018.4943,0.0000
20,VDD,2398.6540,3926.1600,80.0000,80.0000,5018.4943,0.0000
21,VSS,2398.6770,3606.9600,80.0000,80.0000,5018.4943,0.0000
22,VDD,2186.6540,3926.1600,80.0000,80.0000,5018.4943,0.0000
23,VSS,2186.6770,3606.9600,80.0000,80.0000,5018.4943,0.0000
24,VDDQ,2186.6540,3766.5600,80.0000,80.0000,5018.4943,0.0000
